20220520	CNN	0000	the	229
20220520	CNN	0000	to	135
20220520	CNN	0000	of	111
20220520	CNN	0000	in	90
20220520	CNN	0000	that	89
20220520	CNN	0000	and	83
20220520	CNN	0000	is	77
20220520	CNN	0000	a	74
20220520	CNN	0000	this	53
20220520	CNN	0000	it	47
20220520	CNN	0000	we	43
20220520	CNN	0000	on	40
20220520	CNN	0000	have	39
20220520	CNN	0000	they	37
20220520	CNN	0000	he	34
20220520	CNN	0000	be	30
20220520	CNN	0000	you	30
20220520	CNN	0000	are	29
20220520	CNN	0000	for	29
20220520	CNN	0000	who	26
20220520	CNN	0000	about	26
20220520	CNN	0000	if	25
20220520	CNN	0000	not	25
20220520	CNN	0000	so	25
20220520	CNN	0000	with	25
20220520	CNN	0000	them	23
20220520	CNN	0000	but	22
20220520	CNN	0000	just	21
20220520	CNN	0000	it's	21
20220520	CNN	0000	what	21
20220520	CNN	0000	do	19
20220520	CNN	0000	i	19
20220520	CNN	0000	people	19
20220520	CNN	0000	going	18
20220520	CNN	0000	was	18
20220520	CNN	0000	has	18
20220520	CNN	0000	there	17
20220520	CNN	0000	those	17
20220520	CNN	0000	an	17
20220520	CNN	0000	more	16
20220520	CNN	0000	will	16
20220520	CNN	0000	how	16
20220520	CNN	0000	out	16
20220520	CNN	0000	oz	16
20220520	CNN	0000	committee	16
20220520	CNN	0000	or	15
20220520	CNN	0000	at	15
20220520	CNN	0000	your	14
20220520	CNN	0000	can	14
20220520	CNN	0000	because	13
20220520	CNN	0000	here	13
20220520	CNN	0000	been	13
20220520	CNN	0000	like	13
20220520	CNN	0000	some	13
20220520	CNN	0000	by	13
20220520	CNN	0000	all	13
20220520	CNN	0000	race	13
20220520	CNN	0000	ballots	12
20220520	CNN	0000	could	12
20220520	CNN	0000	abortion	12
20220520	CNN	0000	reporter	12
20220520	CNN	0000	would	12
20220520	CNN	0000	up	12
20220520	CNN	0000	his	12
20220520	CNN	0000	mccormick	12
20220520	CNN	0000	know	12
20220520	CNN	0000	when	11
20220520	CNN	0000	were	11
20220520	CNN	0000	january	11
20220520	CNN	0000	he's	11
20220520	CNN	0000	any	11
20220520	CNN	0000	him	11
20220520	CNN	0000	these	11
20220520	CNN	0000	before	11
